Facility,Community Area (#),Phone,FQHC; Look-alike; or Neither; Special Notes
UIC- Mile Square Integrated Health Care New City Clinic,NEW CITY (61),(773) 537-3960,FQHC
UIC- Mile Square Integrated Health Care North Center Clinic,NORTH CENTER (5),(773) 537-3950,FQHC
ACCESS Sinai,NORTH LAWNDALE (29),(866) 882-2237,FQHC
ACCESS Westside Family Health Center,NORTH LAWNDALE (29),(866) 882-2237,FQHC
Erie Family Health Center - - Johnson School,NORTH LAWNDALE (29),(312) 666-3494,FQHC; School-based health center (open to community)
Lawndale Christian Health Center - Homan Square,NORTH LAWNDALE (29),(773) 843-3002,FQHC
Lawndale Christian Health Center - Ogden,NORTH LAWNDALE (29),(773) 843-2718,FQHC
Mercy Family Health Center @ Oakwood Shores,OAKLAND (36),(773) 451-0460,Look-alike
Near North - Komed Holman Health Center,OAKLAND (36),(773) 268-7600,FQHC
PrimeCare Portage Park,PORTAGE PARK (15),(773) 736-1830,FQHC
Chicago Family Health Center- Pullman,PULLMAN (50),(773) 785-6800,FQHC
TCA Health; Inc,RIVERDALE (54),(773) 995-6300,FQHC
ACCESS at St. Francis Health Center,ROGERS PARK (1),(866) 882-2237,FQHC
ACCESS Evanston-Rogers Park Family Health Center,ROGERS PARK (1),(866) 882-2237,FQHC
Aunt Martha's Roseland Community Health Center,ROSELAND (49),(877) 692-8686,FQHC
Chicago Family Health Center - Roseland,ROSELAND (49),(773) 995-3416,FQHC
ACCESS Brandon Family Health Center,SOUTH CHICAGO (46),(866) 882-2237,FQHC
Chicago Family Health Center- South Chicago,SOUTH CHICAGO (46),(773) 768-5000,FQHC
ACCESS Centro Medico,SOUTH LAWNDALE (30),(866) 882-2237,FQHC
ACCESS Centro Medico San Rafael,SOUTH LAWNDALE (30),(866) 882-2237,FQHC
ACCESS Plaza Family Health Center,SOUTH LAWNDALE (30),(866) 882-2237,FQHC
ACCESS Servicios Medicos La Villita,SOUTH LAWNDALE (30),(866) 882-2237,FQHC
Alivio Medical Center - John Spry Community School and Community Links High School,SOUTH LAWNDALE (30),(773) 254-1400,FQHC; School-based health center (open to community)
Alivio Medical Center -Little Village Lawndale High School Campus  ,SOUTH LAWNDALE (30),(773) 254-1400,FQHC
Cook County - Dr. Jorge Prieto Health Center,SOUTH LAWNDALE (30),(773) 521-0750,neither; county government clinic
Esperanza Health Center - Little Village,SOUTH LAWNDALE (30),(773) 584-6200,FQHC
Esperanza Health Centers,SOUTH LAWNDALE (30),(773) 584-6200,FQHC
Lawndale Christian Health Center - Farragut Career Academy,SOUTH LAWNDALE (30),(872) 588-3540,FQHC; School-based health center (open to community)
UIC - Mile Square Health Center - South Shore,SOUTH SHORE (43),(312) 996-2000,FQHC
American Indian Health Services of Chicago,UPTOWN (3) ,(773) 883-9100,neither
Heartland Health Centers - Wilson,UPTOWN (3) ,(773) 506-4283,FQHC
Heartland Health Outreach- Refugee Health,UPTOWN (3) ,(773) 751-1744,FQHC; specialize in refugee health
Heartland Health Outreach- Uptown,UPTOWN (3) ,(773) 751-1700,FQHC; specialize in healthcare for homeless
Howard Brown Health Center,UPTOWN (3) ,(773) 388-1600,Look-alike
Near North - Uptown Community Health Center,UPTOWN (3) ,(773) 878-8098,FQHC
Christian Community Health Center,WASHINGTON HEIGHTS (73),(773) 233-4100,FQHC
University of Chicago- Washinton Park Children's Free Health Clinic ,WASHINGTON PARK (40), (773) 924-0220,neither; pediatric and adolescents only
Friend Family Health Center-Pulaski,WEST ELSDON (62),(773) 702-0660,FQHC
ACCESS Madison Family Health Center,WEST GARFIELD PARK (26),(866) 882-2237,FQHC
Asian American Human Services Family Health Center Inc.,WEST RIDGE (2),(773) 761-0300,neither
Heartland Health Centers - Rogers Park,WEST RIDGE (2),(773) 296-7580,FQHC
CommunityHealth - West Town,WEST TOWN (24) ,(773) 395-9900,neither; volunteer-based free clinic  Days/ Hours Mon- Thurs: 9am-8pm; Fri: 9am-3pm; Sat: 8am-2pm; Sun: CLOSED
Erie Family Health Center - Division St.,WEST TOWN (24) ,(312) 666-3494,FQHC
Erie Family Health Center -- Humboldt Park,WEST TOWN (24) ,(312) 666-3494,FQHC
Erie Family Health Center - West Town,WEST TOWN (24) ,(312) 666-3494,FQHC
PCC Walk-In Wellness Center at Norwegian American Hospital,WEST TOWN (24) ,(773) 292-8348,FQHC; urgent care center 
PCC West Town Family Health Center,WEST TOWN (24) ,(773) 292-8300,FQHC
PrimeCare West Town,WEST TOWN (24) ,(312) 633-5841,FQHC
Cook County - Woodlawn Health Center,WOODLAWN (42),(312) 747-7705,neither; county government clinic
